Cell_Name,Animal_Name,Animal_Condition_Sex,days_post_surgery,Rm,Cm,RMP,AP_Threshold,AP_HW,AP_Peak
2023_07_06D,2023_07_06,IONL_Male,23,70.0,359.8891038909974,-46.60688385009763,-52.509937,1.04127,47.920063000000006
2023_07_06E,2023_07_06,IONL_Male,23,120.0,193.51019167339828,-59.1415283203126,-52.63378,1.06507,45.11622
2023_07_10A,2023_07_10,IONL_Male,27,163.0,174.2215112424103,-62.590858676910365,-50.936745,0.981489,48.363255
2023_07_10C,2023_07_10,IONL_Male,27,84.0,308.4754030422743,-52.72004370117189,-46.844482,0.808793,45.865518
2023_07_10D,2023_07_10,IONL_Male,27,99.0,343.7665209387952,-48.88391549682622,-47.738964,0.871366,46.14103599999999
2024_01_16A,2024_01_16,IONL_Male,29,189.0,173.3102837934265,-62.663005397796574,-43.838684,1.35658,42.101316
2024_01_16B,2024_01_16,IONL_Male,29,168.0,255.17735316397537,-77.5944694824218,-38.6691,1.04685,46.6909
2024_01_16C,2024_01_16,IONL_Male,29,72.5,269.84888005486897,-55.59744045257568,-44.991108,0.794682,56.338892
2024_01_16D,2024_01_16,IONL_Male,29,78.0,231.505154884996,-60.6428098144531,-47.957493,0.840466,52.47250700000001
2024_01_16E,2024_01_16,IONL_Male,29,197.5,139.86116694094198,-66.36663618445388,-44.105167,0.966599,52.054833
2024_01_16F,2024_01_16,IONL_Male,29,85.0,233.32143499821464,-62.53378007888792,-46.038933,0.907631,53.841067
2024_01_22B,2024_01_22,IONL_Male,35,59.00000000000001,328.14701931070886,-58.14037094116211,-38.024902,0.970344,46.695098
2024_01_22C,2024_01_22,IONL_Male,35,42.5,406.9214112832813,-63.5212181156873,-43.63063,0.902762,49.16937
2024_01_24A,2024_01_24,IONL_Male,37,111.0,197.51120320726372,-70.40966469573969,-42.166946,1.68062,54.57305399999999
2024_01_24B,2024_01_24,IONL_Male,37,87.5,183.3088614653526,-57.05229730606072,-44.598614,1.07252,50.16138600000001
2024_01_24C,2024_01_24,IONL_Male,37,43.5,399.5698394914392,-57.0194962425232,-56.24206,1.22672,48.09794
2024_01_24D,2024_01_24,IONL_Male,37,194.0,178.10519390342773,-63.77686863946911,-49.304203,1.11147,49.325797
2024_01_26B,2024_01_26,IONL_Male,39,102.5,231.6150719137957,-64.3062202739715,-39.94315,1.49405,52.64685
2024_01_29A,2024_01_29,IONL_Male,42,179.5,111.74662948577571,-69.10758832263942,-39.732437,1.261,47.207563
2024_02_26E,2024_02_26,IONL_Male,35,99.5,221.00117476818664,-67.04270964825153,-45.95866,1.29198,48.37134
2024_02_26F,2024_02_26,IONL_Male,35,115.0,193.6890509233829,-65.3475753605365,-40.36331,1.29872,53.366690000000006
