Time_point,Pain_Score,Animal_Name,Animal_Condition_Sex
17,3.0,KH2022-51,LNIO_Male
20,3.0,KH2022-51,LNIO_Male
-1,1.4,JL-2025-06,SHAM_Female
3,1.2,JL-2025-06,SHAM_Female
6,1.0,JL-2025-06,SHAM_Female
10,1.6,JL-2025-06,SHAM_Female
13,1.4,JL-2025-06,SHAM_Female
17,1.4,JL-2025-06,SHAM_Female
20,1.8,JL-2025-06,SHAM_Female
-1,1.0,JL-2025-11,SHAM_Female
3,1.0,JL-2025-11,SHAM_Female
6,1.0,JL-2025-11,SHAM_Female
10,0.8,JL-2025-11,SHAM_Female
13,1.4,JL-2025-11,SHAM_Female
17,1.4,JL-2025-11,SHAM_Female
20,1.2,JL-2025-11,SHAM_Female
-1,2.0,JL-2025-22,SHAM_Female
3,1.6,JL-2025-22,SHAM_Female
6,1.8,JL-2025-22,SHAM_Female
10,2.0,JL-2025-22,SHAM_Female
13,1.6,JL-2025-22,SHAM_Female
17,1.8,JL-2025-22,SHAM_Female
20,1.8,JL-2025-22,SHAM_Female
-1,1.0,JL-2025-30,SHAM_Female
3,1.2,JL-2025-30,SHAM_Female
6,1.0,JL-2025-30,SHAM_Female
10,1.4,JL-2025-30,SHAM_Female
13,1.6,JL-2025-30,SHAM_Female
17,1.8,JL-2025-30,SHAM_Female
20,1.8,JL-2025-30,SHAM_Female
-1,1.0,JL-2025-38,SHAM_Female
3,1.4,JL-2025-38,SHAM_Female
6,1.2,JL-2025-38,SHAM_Female
10,1.4,JL-2025-38,SHAM_Female
13,0.8,JL-2025-38,SHAM_Female
17,1.2,JL-2025-38,SHAM_Female
20,1.2,JL-2025-38,SHAM_Female
-1,1.8,JL-2025-40,SHAM_Female
3,2.0,JL-2025-40,SHAM_Female
6,1.8,JL-2025-40,SHAM_Female
10,1.6,JL-2025-40,SHAM_Female
13,1.4,JL-2025-40,SHAM_Female
17,1.8,JL-2025-40,SHAM_Female
20,1.8,JL-2025-40,SHAM_Female
-1,1.2,JL-2025-04,LNIO_Female
3,2.0,JL-2025-04,LNIO_Female
6,1.6,JL-2025-04,LNIO_Female
10,2.2,JL-2025-04,LNIO_Female
13,1.4,JL-2025-04,LNIO_Female
17,2.4,JL-2025-04,LNIO_Female
20,2.2,JL-2025-04,LNIO_Female
-1,0.8,JL-2025-10,LNIO_Female
3,1.2,JL-2025-10,LNIO_Female
6,1.4,JL-2025-10,LNIO_Female
10,2.4,JL-2025-10,LNIO_Female
13,2.6,JL-2025-10,LNIO_Female
17,3.2,JL-2025-10,LNIO_Female
20,3.2,JL-2025-10,LNIO_Female
-1,1.8,JL-2025-21,LNIO_Female
3,1.8,JL-2025-21,LNIO_Female
6,1.6,JL-2025-21,LNIO_Female
10,2.4,JL-2025-21,LNIO_Female
13,2.2,JL-2025-21,LNIO_Female
17,2.4,JL-2025-21,LNIO_Female
20,2.6,JL-2025-21,LNIO_Female
-1,1.4,JL-2025-24,LNIO_Female
3,1.2,JL-2025-24,LNIO_Female
6,1.4,JL-2025-24,LNIO_Female
10,2.0,JL-2025-24,LNIO_Female
13,2.4,JL-2025-24,LNIO_Female
17,2.4,JL-2025-24,LNIO_Female
20,2.6,JL-2025-24,LNIO_Female
-1,1.0,JL-2025-26,LNIO_Female
3,1.6,JL-2025-26,LNIO_Female
6,1.6,JL-2025-26,LNIO_Female
10,1.8,JL-2025-26,LNIO_Female
13,2.4,JL-2025-26,LNIO_Female
17,2.6,JL-2025-26,LNIO_Female
20,2.6,JL-2025-26,LNIO_Female
-1,1.0,JL-2025-41,LNIO_Female
3,1.2,JL-2025-41,LNIO_Female
6,1.0,JL-2025-41,LNIO_Female
10,1.4,JL-2025-41,LNIO_Female
13,2.0,JL-2025-41,LNIO_Female
17,2.4,JL-2025-41,LNIO_Female
20,2.4,JL-2025-41,LNIO_Female
